Title: kubectl logs -n kong kong-controller-cd7757cdb-277gc
Timestamp: 2026-06-18T16:40:37

Command:
kubectl logs -n kong kong-controller-cd7757cdb-277gc --tail=200

Exit code: 0

Output:
2026-06-18T23:30:27Z	info	controllers.IngressClassParameters	Starting EventSource	{"source": "kind source: *v1alpha1.IngressClassParameters", "v": 0}
2026-06-18T23:30:27Z	info	controllers.TCPIngress	Starting EventSource	{"source": "kind source: *v1.IngressClass", "v": 0}
2026-06-18T23:30:27Z	info	controllers.TCPIngress	Starting EventSource	{"source": "kind source: *v1beta1.TCPIngress", "v": 0}
2026-06-18T23:30:27Z	info	controllers.UDPIngress	Starting EventSource	{"source": "kind source: *v1.IngressClass", "v": 0}
2026-06-18T23:30:27Z	info	controllers.UDPIngress	Starting EventSource	{"source": "kind source: *v1beta1.UDPIngress", "v": 0}
2026-06-18T23:30:27Z	info	controllers.KongIngress	Starting EventSource	{"source": "kind source: *v1.KongIngress", "v": 0}
2026-06-18T23:30:27Z	info	controllers.KongConsumer	Starting EventSource	{"source": "channel source: 0xc0002af730", "v": 0}
2026-06-18T23:30:27Z	info	controllers.KongPlugin	Starting EventSource	{"source": "kind source: *v1.KongPlugin", "v": 0}
2026-06-18T23:30:27Z	info	controllers.KongClusterPlugin	Starting EventSource	{"source": "kind source: *v1.KongClusterPlugin", "v": 0}
2026-06-18T23:30:27Z	info	controllers.KongConsumer	Starting EventSource	{"source": "kind source: *v1.IngressClass", "v": 0}
2026-06-18T23:30:27Z	info	controllers.KongConsumer	Starting EventSource	{"source": "kind source: *v1.KongConsumer", "v": 0}
2026-06-18T23:30:27Z	info	controllers.KongConsumerGroup	Starting EventSource	{"source": "channel source: 0xc0002af810", "v": 0}
2026-06-18T23:30:27Z	info	controllers.KongVault	Starting EventSource	{"source": "channel source: 0xc0001767e0", "v": 0}
2026-06-18T23:30:27Z	info	controllers.KongClusterPlugin	Starting EventSource	{"source": "kind source: *v1.IngressClass", "v": 0}
2026-06-18T23:30:27Z	info	controllers.KongConsumerGroup	Starting EventSource	{"source": "kind source: *v1.IngressClass", "v": 0}
2026-06-18T23:30:27Z	info	controllers.KongConsumerGroup	Starting EventSource	{"source": "kind source: *v1beta1.KongConsumerGroup", "v": 0}
2026-06-18T23:30:27Z	info	controllers.KongUpstreamPolicy	Starting EventSource	{"source": "channel source: 0xc0001763f0", "v": 0}
2026-06-18T23:30:27Z	info	controllers.Dynamic/Gateway	Starting EventSource	{"source": "kind source: *v1.CustomResourceDefinition", "v": 0}
2026-06-18T23:30:27Z	info	controllers.KongVault	Starting EventSource	{"source": "kind source: *v1.IngressClass", "v": 0}
2026-06-18T23:30:27Z	info	controllers.KongVault	Starting EventSource	{"source": "kind source: *v1alpha1.KongVault", "v": 0}
2026-06-18T23:30:27Z	info	controllers.KongUpstreamPolicy	Starting EventSource	{"source": "kind source: *v1beta1.KongUpstreamPolicy", "v": 0}
2026-06-18T23:30:27Z	info	controller-runtime.cache	Warning: configuration.konghq.com/v1beta1 TCPIngress is deprecated	{"v": 0}
2026-06-18T23:30:27Z	info	controllers.KongUpstreamPolicy	Starting EventSource	{"source": "kind source: *v1.Service", "v": 0}
2026-06-18T23:30:27Z	info	controllers.KongUpstreamPolicy	Starting EventSource	{"source": "kind source: *v1.Ingress", "v": 0}
2026-06-18T23:30:27Z	info	controllers.KongUpstreamPolicy	Starting EventSource	{"source": "channel source: 0xc0002aff10", "v": 0}
2026-06-18T23:30:27Z	info	controllers.KongCustomEntity	Starting EventSource	{"source": "channel source: 0xc000176bd0", "v": 0}
2026-06-18T23:30:27Z	info	controllers.Dynamic/ReferenceGrant	Starting EventSource	{"source": "kind source: *v1.CustomResourceDefinition", "v": 0}
2026-06-18T23:30:27Z	info	controller-runtime.cache	Warning: configuration.konghq.com/v1 KongIngress is deprecated	{"v": 0}
2026-06-18T23:30:27Z	info	controller-runtime.cache	Warning: configuration.konghq.com/v1beta1 UDPIngress is deprecated	{"v": 0}
2026-06-18T23:30:27Z	info	controllers.KongCustomEntity	Starting EventSource	{"source": "kind source: *v1alpha1.KongCustomEntity", "v": 0}
